Section ID,Section text,Constitution
Democratic_Republic_of_the_Congo_2011/218,"The national education establishments shall assure, in cooperation with the religious authorities, to their minor pupils[,] and having parents demanding it[,] an education conforming to their religious convictions.",Democratic_Republic_of_the_Congo_2011
Ecuador_2021/574,"Responsible motherhood and fatherhood shall be fostered; and the mother and father shall be obliged to take care, raise, educate, feed, and provide for the integral development and protection of the rights of their children, especially when they are separated from them for any reason.",Ecuador_2021
Tajikistan_2016/134,"Parents shall be responsible for the upbringing and education of their children, and adults and the children capable of working shall be responsible for taking care and social security of their parents.",Tajikistan_2016
Burkina_Faso_2015/93,Children are equal in rights and in duties in their familial relations. The parents have the natural right and the duty to raise and to educate their children. These must give them respect and assistance.,Burkina_Faso_2015
Democratic_Republic_of_the_Congo_2011/210,The parents have the right to choose the mode of education to be given to their children.,Democratic_Republic_of_the_Congo_2011
Costa_Rica_2020/175,The parents have the same obligations to their children born out of the marriage as to those born in it.,Costa_Rica_2020
Gabon_2011/40,"The care given to children and their education constitute a natural right for parents and a responsibility that they exercise under the surveillance and with the aide of the State and its public collectivities. Parents have the right, under the laws of obligatory education, to choose the moral and religious education of their children. In the eyes of the State, all children have the same rights regarding assistance to their physical, intellectual, and moral development;",Gabon_2011
Paraguay_2011/194,"The parents have the right and the obligation to assist, to feed, to educate, and to shelter [amparar] their minor children.",Paraguay_2011
Maldives_2008/153,Primary and secondary education shall be freely provided by the State. It is imperative on parents and the State to provide children with primary and secondary education. Opportunity for higher education shall be generally accessible to all citizens.,Maldives_2008
Panama_2004/179,"Parents have, with respect to their children born out of wedlock, the same duties as towards their children born in wedlock. All children are equal according to law, and have the same rights of inheritance in intestate successions. The rights of minors or incapacitated children and of destitute parents in testate successions, shall be recognized by law.",Panama_2004
Ecuador_2021/184,"Mothers and fathers or their representatives shall be at liberty to choose for their daughters and sons an education that is in line with their principles, beliefs, and pedagogical options.",Ecuador_2021
Philippines_1987/832,"Establish and maintain a system of free public education in the elementary and high school levels. Without limiting the natural right of parents to rear their children, elementary education is compulsory for all children of school age.",Philippines_1987
Slovenia_2016/170,"Parents have the right and duty to maintain, educate and raise their children. This right and duty may be revoked or restricted only for such reasons as are provided by law in order to protect the child's interests.",Slovenia_2016
Kazakhstan_2017/180,Care of children and their upbringing shall be natural right and responsibility of parents.,Kazakhstan_2017
Russia_2014/232,Care for children and their upbringing shall be the equal right and duty of parents.,Russia_2014
United_Kingdom_2013/12088,"No person shall be denied the right to education. In the exercise of any functions which it assumes in relation to education and to teaching, the State shall respect the right of parents to ensure such education and teaching in conformity with their own religious and philosophical convictions.",United_Kingdom_2013
China_2018/181,"Parents have the duty to rear and educate their minor children, and children who have come of age have the duty to support and assist their parents.",China_2018
Chile_2021/159,Parents have the preferential right and duty to educate their children. The State shall provide special protection for the exercise of this right.,Chile_2021
Slovenia_2016/128,"Parents have the right to provide their children with a religious and moral upbringing in accordance with their beliefs. The religious and moral guidance given to children must be appropriate to their age and maturity, and be consistent with their free conscience and religious and other beliefs or convictions.",Slovenia_2016
Ecuador_2021/582,"The State shall promote the joint responsibility of both mother and father and shall monitor fulfillment of the mutual duties and rights between mothers, fathers, and children.",Ecuador_2021
Russia_2014/266,Basic general education shall be compulsory. Parents or guardians shall ensure that children receive a basic general education.,Russia_2014
Uganda_2017/618,A child is entitled to basic education which shall be the responsibility of the State and the parents of the child.,Uganda_2017
Serbia_2006/172,Parents and legal guardians shall have the right to ensure religious and moral education of their children in conformity with their own convictions.,Serbia_2006
Denmark_1953/318,"All children of school age shall be entitled to free instruction in the elementary schools. Parents or guardians who themselves arrange for their children or wards receiving instruction equal to the general elementary school standard, shall not be obliged to have their children or wards taught in an elementary school.",Denmark_1953
Iraq_2005/200,"Children have the right to upbringing, care and education from their parents. Parents have the right to respect and care from their children, especially in times of need, disability, and old age.",Iraq_2005
Vanuatu_2013/95,"in the case of a parent, to support, assist and educate all his children, legitimate and illegitimate, and in particular to give them a true understanding of their fundamental rights and duties and of the national objectives and of the culture and customs of the people of Vanuatu;",Vanuatu_2013
Bolivia_2009/570,The right of mothers and fathers to choose the education they prefer for their sons and daughters is respected.,Bolivia_2009
Czech_Republic_2013/1062,It is the parents' right to care for and raise their children; children have the right to upbringing and care from their parents. Parental rights may be limited and minor children may be removed from their parents' custody against the latters' will only by the decision of a court on the basis of the law.,Czech_Republic_2013
Ethiopia_1994/174,Parents and legal guardians have the right to bring up their children ensuring their religious and moral education in conformity with their own convictions.,Ethiopia_1994
Serbia_2006/255,"Parents shall have the right and duty to support, provide upbringing and education to their children in which they shall be equal.",Serbia_2006
Cyprus_2013/226,"Every person has the right to receive, and every person or institution has the right to give, instruction or education subject to such formalities, conditions or restrictions as are in accordance with the relevant communal law and are necessary only in the interests of the security of the Republic or the constitutional order or the public safety or the public order or the public health or the public morals or the standard and quality of education or for the protection of the rights and liberties of others including the right of the parents to secure for their children such education as is in conformity with their religious convictions.",Cyprus_2013
Ireland_2019/1020,"The State shall provide for free primary education and shall endeavour to supplement and give reasonable aid to private and corporate educational initiative, and, when the public good requires it, provide other educational facilities or institutions with due regard, however, for the rights of parents, especially in the matter of religious and moral formation.",Ireland_2019
