Section ID,Section text,Constitution
Colombia_2015/409,"The following are the people’s means of participating in the exercise of their sovereignty: the vote, the plebiscite, the referendum, the popular consultation, the open town council meeting, the legislative initiative, and the recall of officials. An Act shall regulate these matters. The State shall contribute to the organization, promotion, and guidance of professional, civic, trade union, community, youth, charitable, or nongovernmental public-purpose associations, without prejudicing their authority so that they may constitute democratic means of representation in the various organs of participation, agreement, control, and oversight of the public actions that they undertake.",Colombia_2015
Sao_Tome_and_Principe_2003/981,"The members of the District Assemblies are elected for three years and may have their mandate revoked by popular initiative, in the terms of the law.",Sao_Tome_and_Principe_2003
Myanmar_2015/2760,Relevant electorate has the right to recall a Hluttaw representative in accord with the law.,Myanmar_2015
Bolivia_2009/1728,"The revocation of a mandate shall result in the immediate cessation of service in the post, providing for his or her substitution according to the law.",Bolivia_2009
Taiwan_2005/45,"The people shall have the right of election, recall, initiative, and referendum.",Taiwan_2005
Panama_2004/987,"Termination of the mandate (""recall""), in accordance with regulations established by law.",Panama_2004
Bolivia_2009/1726,The revocation of a mandate of a public servant shall be carried out pursuant to the law.,Bolivia_2009
China_2018/456,"The electoral units and constituencies which elect deputies to local people's congresses at different levels have the power, according to procedures prescribed by law, to recall deputies whom they elected.",China_2018
Nigeria_2011/1006,A member of the Senate or of the House Representatives may be recalled as such a member if-,Nigeria_2011
Ecuador_2021/858,"For the adoption of a matter proposed for referendum, plebiscite or recall, an absolute majority of valid votes shall be required, except for a referendum to recall the President of the Republic, in which case the absolute majority of voters is required.",Ecuador_2021
Peru_2021/1040,"Mayors and council members are elected by direct suffrage for a period of four (4) years. There is no immediate reelection for mayors. After another period, as a minimum, they can run for office again, subject to the same conditions. Their mandate is revocable, according to law. The mandate of mayors and councilors is inalienable, with the exception of cases provided for by the Constitution.",Peru_2021
Uganda_2017/1229,"Subject to the provisions of clauses (2), (3), (4) and (5) of this article, Parliament shall, by law prescribe the procedure to be followed for the recall of a member of Parliament.",Uganda_2017
Venezuela_2009/258,"When a number of voters equal to or greater than the number of those who elected the official vote in favor of revocation, provided that a number of voters equal to or greater than 25% of the total number of registered voters have voted in the revocation election, the official’s mandate shall be deemed revoked, and immediate action shall be taken to fill the permanent vacancy in accordance with the provided for in this Constitution and by law.",Venezuela_2009
Ecuador_2021/857,"The National Electoral Council, once it is apprised of the decision taken by the President of the Republic or the decentralized autonomous governments or accepts the petition requested by the citizenry, shall within fifteen (15) days call for a referendum, plebiscite or recall (motion to dismiss), which then must be held in the ensuing sixty (60) days.",Ecuador_2021
Slovakia_2017/699,"calls public voting on recalling of the President of the Slovak Republic,",Slovakia_2017
Ghana_1996/3016,"Subject to any procedure established by law, the mandate of a member of a District Assembly may be revoked by the electorate or the appointing body.",Ghana_1996
Philippines_1987/558,"The Congress shall enact a local government code which shall provide for a more responsive and accountable local government structure instituted through a system of decentralization with effective mechanisms of recall, initiative, and referendum, allocate among the different local government units their powers, responsibilities, and resources, and provide for the qualifications, election, appointment and removal, term, salaries, powers and functions and duties of local officials, and all other matters relating to the organization and operation of the local units.",Philippines_1987
Iceland_2013/29,"If the resolution by Althingi is not approved in the plebiscite, Althingi shall be immediately dissolved and new elections called.",Iceland_2013
Ecuador_2021/859,"The people's decision shall require mandatory and immediate enforcement. In the case of recall, the challenged authority shall be removed from office and shall be replaced by whoever is stipulated by the Constitution",Ecuador_2021
Ethiopia_1994/74,"In case of loss of confidence, the people may recall an elected representative. The particulars of recall shall be determined by law.",Ethiopia_1994
Nigeria_2011/1364,A member of the House of Assembly may be recalled as such a member if-,Nigeria_2011
Peoples_Republic_of_Korea_2016/31,Deputies to the organs of State power at all levels have close ties with their constituents and are accountable to them for their work. The electors may recall at any time the deputies they have elected if the latter lose the trust of the former.,Peoples_Republic_of_Korea_2016
Palau_1992/200,"The people may recall a member of the Olbiil Era Kelulau from office. A recall is initiated by a petition which shall name the member sought to be recalled, state the grounds for recall, and be signed by not less than twenty-five percent (25%) of the number of persons [that] voted in the most recent election for that member of the Olbiil Era Kelulau. A special recall election shall be held not later than sixty (60) calendar days after the filing of the recall petition. A member of the Olbiil Era Kelulau shall be removed from office only with the approval of a majority of the persons voting in the election, and such vacancy shall be filled by a special election to be held in accordance with law. A recall may be sought against an individual member of the Olbiil Era Kelulau no more than once per term. No recall shall be permitted against a member who is serving the first year of his first term in the Olbiil Era Kelulau.",Palau_1992
Venezuela_2009/832,"Deputies of the National Assembly, are obligated to work on a full- time basis for the benefit of the people’s interest, and to stay in constant contact with their constituents, heeding these opinions and suggestions and keeping them informed about its individual and Assembly Management. They shall render in an annual accounting of its management to the constituents in the jurisdiction from which they were elected, and shall be subject to recall by referendum as provided for under this Constitution and the applicable law.",Venezuela_2009
Cuba_2019/1198,"The representatives' mandate is revocable at any moment. The law determines the form, causes, and procedures for revocation.",Cuba_2019
Bolivia_2009/1720,"The mandate of anyone who occupies an elected position, with the exception of those of the Judicial Organ, may be revoked, in accordance with the law.",Bolivia_2009
Palau_1992/102,"The President or Vice President may be removed from office by a recall. A recall is initiated by a resolution adopted by not less than two-thirds (2/3) of the members of the state legislatures in not less than three-fourths (3/4) of the states. Upon receipt by the presiding officers of the Olbiil Era Kelulau of the required number of certified resolutions, the Olbiil Era Kelulau shall establish a special election board to supervise a nationwide recall referendum to be held not less than thirty (30) days nor more than sixty (60) days, after receipt of the required number of certified resolutions.",Palau_1992
Uganda_2017/2734,Parliament shall by law prescribe the grounds on which and the manner in which the electorate may revoke the mandate of an elected member of a local government council.,Uganda_2017
Slovakia_2017/638,"The consent of a three-fifths majority of all Members of Parliament shall be required for adopting or amending the Constitution or a constitutional law, for approving an international treaty according to Art. 7 par. 2, for adopting a resolution on plebiscite on the recall of the President of the Slovak Republic, for impeaching the President, and for declaring war on another state.",Slovakia_2017
Uganda_2017/1219,"The recall of a member of Parliament shall be initiated by a petition in writing setting out the grounds relied on and signed by at least two-thirds of the registered voters of the constituency or of the interest group referred to in clause (1) of this article, and shall be delivered to the Speaker.",Uganda_2017
Ecuador_2021/854,"The request for recall can be submitted after the first year and before the last year of the term of office for which the challenged authority was elected. During the term of office of an authority, only one proceeding requesting his/her recall can be carried out.",Ecuador_2021
Bolivia_2009/1724,"The revocation referendum shall commence by citizen initiative, at the request of at least fifteen percent of the voters of the electoral roll of the district that elected the public servant.",Bolivia_2009
