Section ID,Section text,Constitution
Belize_2011/987,one shall be appointed by the Governor-General acting in accordance with the advice of the Belize Council of Churches and Evangelical Association of Churches; and,Belize_2011
Brazil_2017/4123,Religious education shall be an optional course during normal school hours in public elementary schools.,Brazil_2017
Democratic_Republic_of_the_Congo_2011/218,"The national education establishments shall assure, in cooperation with the religious authorities, to their minor pupils[,] and having parents demanding it[,] an education conforming to their religious convictions.",Democratic_Republic_of_the_Congo_2011
Peru_2021/117,Ethical and civic training and the teaching of the Constitution and human rights are mandatory in all civil and military educational processes. Religious education is provided in keeping with freedom of conscience.,Peru_2021
Equatorial_Guinea_2012/178,"Official education permits the free election of the religious formation program, based on the freedom of conscience and religion protected by this Fundamental Law.",Equatorial_Guinea_2012
Liechtenstein_2011/175,The Roman Catholic Church is the State Church and as such enjoys the full protection of the State; other confessions shall be entitled to practise their creeds and to hold religious services to the extent consistent with morality and public order.,Liechtenstein_2011
Norway_2016/49,"The Norwegian church, an Evangelical-Lutheran church, shall remain the Norwegian National Church and will as such be supported by the State. Detailed provisions as to its system shall be laid down by law. All religious and philosophical communities were to be supported on an equal footing.",Norway_2016
El_Salvador_2014/86,The juridical personality of the Catholic Church is recognized. The other churches may obtain recognition of their personality in conformity with the law.,El_Salvador_2014
Philippines_1987/845,"At the option expressed in writing by the parents or guardians, religion shall be allowed to be taught to their children or wards in public elementary and high schools within the regular class hours by instructors designated or approved by the religious authorities of the religion to which the children or wards belong, without additional cost to the Government.",Philippines_1987
Yemen_2015/132,"Education is a right for all citizens. The state shall guarantee education in accordance with the law through building various schools and cultural and educational institutions. Basic education is obligatory. The state shall do its best to obliterate illiteracy and give special care to expanding technical and vocational education. The state shall give special attention to young people and protect them against perversions, provide them with religious, mental and physical education, and the appropriate environment to develop their aptitude in all fields.",Yemen_2015
Malta_2016/450,"A requirement, however made, that the Roman Catholic Apostolic Religion shall be taught by a person professing that religion shall not be held to be inconsistent with or in contravention of this article.",Malta_2016
Guatemala_1993/226,"Religious education is optional in the official establishments and can be taught during ordinary hours, without any discrimination.",Guatemala_1993
Belgium_2014/98,"Schools run by the public authorities offer, until the end of compulsory education, the choice between the teaching of one of the recognised religions and non-denominational ethics teaching.",Belgium_2014
Guatemala_1993/137,"The juridical personality of the Catholic Church is recognized. The other churches, cults, entities, and associations of religious character will obtain the recognition of their juridical personality in accordance with the rules of their institution[,] and the Government may not deny it[,] aside from reasons of public order.",Guatemala_1993
